,FILE_ID,Description,SCHK_Block_count,Agg_SubSystem_count,Hierarchy_depth,LibraryLinked_Count,total_ConnH_cnt,clean_description,clean_description_tokens,combined_clusters
178,23126,"This model implements a double pendulum both in SimMechanics™ and using basic Simulink® blocks.<p>This model implements a double pendulum both in SimMechanics™ and using basic Simulink® blocks.You can see how easier it is using SimMechanics™!</p>simmechanics,simulink",74,3,2,0,94,implement double pendulum simmechanics basic block implement double pendulum simmechanics basic block see easy simmechanics,"['implement', 'double', 'pendulum', 'simmechanics', 'basic', 'block', 'implement', 'double', 'pendulum', 'simmechanics', 'basic', 'block', 'see', 'easy', 'simmechanics']",7
179,23507,"Techniques for managing xPC Target CPU overloads.<p>CPU overloads are generally a result of unexpected events or trying to do too much with too little.  The default configuration of the xPC Target real-time kernel will stop model execution when a CPU overload is detected.  This guarantees hard real-time performance.  Nevertheless, it is possible to continue model execution in the presence of CPU overloads.  Also, blocks are available that can sense and control the CPU overload counter.  This allows for implementing exception handling when CPU overloads occur.  These capabilities are described and test models are included to demonstrate.</p>cpu overload,cpu overload,real time,xpc target,cpu overload",158,17,2,8,125,technique manage xpc target cpu overload cpu overload generally result unexpected event try much little default configuration xpc target real time kernel stop execution cpu overload detect guarantee hard real time performance nevertheless possible continue execution presence cpu overload also block available sense control cpu overload counter allow implement exception handle cpu overload occur capability describe test include demonstrate cpu overloadcpu overloadreal timexpc targetcpu overload,"['technique', 'manage', 'xpc', 'target', 'cpu', 'overload', 'cpu', 'overload', 'generally', 'result', 'unexpected', 'event', 'try', 'much', 'little', 'default', 'configuration', 'xpc', 'target', 'real', 'time', 'kernel', 'stop', 'execution', 'cpu', 'overload', 'detect', 'guarantee', 'hard', 'real', 'time', 'performance', 'nevertheless', 'possible', 'continue', 'execution', 'presence', 'cpu', 'overload', 'also', 'block', 'available', 'sense', 'control', 'cpu', 'overload', 'counter', 'allow', 'implement', 'exception', 'handle', 'cpu', 'overload', 'occur', 'capability', 'describe', 'test', 'include', 'demonstrate', 'cpu', 'overloadcpu', 'overloadreal', 'timexpc', 'targetcpu', 'overload']",5
180,23541,"These files accompany my blog post of the same name.<p>These files demonstrate the use of Parallel Computing Toolbox™ to speed up model reference SimTarget builds. Watch the video on my blog post for full details:<a href=""http://blogs.mathworks.com/seth/2009/03/31/parallel-computing-with-simulink-model-reference-builds/"">http://blogs.mathworks.com/seth/2009/03/31/parallel-computing-with-simulink-model-reference-builds/</a></p>model reference,parallel computing,pct,seth on simulink,simulink",1660,0,2,0,330,file accompany blog post name file demonstrate parallel compute toolbox speed reference simtarget build watch video blog post full detail http blog mathworks com seth parallel compute reference build,"['file', 'accompany', 'blog', 'post', 'name', 'file', 'demonstrate', 'parallel', 'compute', 'toolbox', 'speed', 'reference', 'simtarget', 'build', 'watch', 'video', 'blog', 'post', 'full', 'detail', 'http', 'blog', 'mathworks', 'com', 'seth', 'parallel', 'compute', 'reference', 'build']",7
181,23861,"This SimMechanics™ model implements a 4 wheels rover with suspension and a robotic arm.<p>I was developping the model of a car suspension. After implementing one quarter of the car, I thought it might be cool to combine four ""quarter car"" models and a simple arm to create a rover equipped with a robotic arm.The contact dynamics for the wheel is very simple. A spring-damper that is enabled when the wheels touch the ground.All comments/suggestions are welcome</p>automotive,automative,automotive,car,rover,simmechanics,simulink,suspension,car",710,62,5,0,751,simmechanics implement wheel rover suspension robotic arm developping car suspension implement one quarter car think might cool combine four quarter car simple arm create rover equip robotic arm contact dynamic wheel simple spring damper enable wheel touch ground comment suggestion,"['simmechanics', 'implement', 'wheel', 'rover', 'suspension', 'robotic', 'arm', 'developping', 'car', 'suspension', 'implement', 'one', 'quarter', 'car', 'think', 'might', 'cool', 'combine', 'four', 'quarter', 'car', 'simple', 'arm', 'create', 'rover', 'equip', 'robotic', 'arm', 'contact', 'dynamic', 'wheel', 'simple', 'spring', 'damper', 'enable', 'wheel', 'touch', 'ground', 'comment', 'suggestion']",5
182,23887,"Supplemental set of MATLAB M-files and Simulink models.<p>""Simulink 7.2 - Guia Pratico"": Written for students, teachers, and engineers, this book is designed to get the reader started quickly and easily in Simulink. Concepts and features are presented based on tutorials and practical exercises. Topics covered include an introduction to the concepts of modeling, simulation, and analysis of dynamic systems using Simulink. MATLAB and Simulink are used throughout the book to solve many application examples.For additional book and ordering information, please visit:<a href=""http://www.mathworks.com/support/books/book19541.html?language=17&amp;language=17"">http://www.mathworks.com/support/books/book19541.html?language=17&amp;language=17</a></p>portugues,portuguese,simulink,simulink 72",472,17,2,0,463,supplemental set file guia pratico write student teacher engineer book design get reader start quickly easily concepts feature present base tutorial practical exercise topic cover include introduction concept analysis dynamic throughout book solve many application example additional book order information please visit http mathworks com support book book html language amp language,"['supplemental', 'set', 'file', 'guia', 'pratico', 'write', 'student', 'teacher', 'engineer', 'book', 'design', 'get', 'reader', 'start', 'quickly', 'easily', 'concepts', 'feature', 'present', 'base', 'tutorial', 'practical', 'exercise', 'topic', 'cover', 'include', 'introduction', 'concept', 'analysis', 'dynamic', 'throughout', 'book', 'solve', 'many', 'application', 'example', 'additional', 'book', 'order', 'information', 'please', 'visit', 'http', 'mathworks', 'com', 'support', 'book', 'book', 'html', 'language', 'amp', 'language']",7
183,23931,"NXT Ballbot Model-Based Design based on Embedded Coder Robot NXT.<p>NXT Ballbot is a LEGO Mindstorms NXT version of Ballbot that is developed by Ralph Hollis at Carnegie Mellon University. The Ballbot is designed to balance itself on its single spherical wheel while traveling about. Please refer the following URL to know more detailed information about Ballbot.<a href=""http://en.wikipedia.org/wiki/BallbotThis"">http://en.wikipedia.org/wiki/BallbotThis</a> demo presents sample models and documents describe the following contents.How to Build NXT BallbotMathematical Dynamics Model of NXT BallbotController Design for Balance and Drive ControlNXT Ballbot Model IllustrationSimulation and Experimental ResultsYou can simulate NXT Ballbot model and generate controller program that can be executed on the NXT. Furthermore, you can watch movies of NXT Ballbot simulation and control experiment at the following URL.<a href=""http://www.youtube.com/watch?v=1MfiAZBsWachttp://www.youtube.com/watch?v=f8jxGsg3p0YThis"">http://www.youtube.com/watch?v=1MfiAZBsWachttp://www.youtube.com/watch?v=f8jxGsg3p0YThis</a> demo requires Embedded Coder Robot NXT Demo as MBD environment. You need to download it from the following URL before trying this demo.<a href=""http://www.mathworks.com/matlabcentral/fileexchange/13399LEGO(R)"">http://www.mathworks.com/matlabcentral/fileexchange/13399LEGO(R)</a> is a trademark of the LEGO Group of companies which does not sponsor, authorize or endorse this demo. LEGO(R) and Mindstorms(R) are registered trademarks of The LEGO Group.</p>ecrobot,control design,embedded code,lego,mindstorms,modeling,nxt,robot,simulation,simulation",1538,131,8,0,974,nxt ballbot base design base embedded coder robot nxt nxt ballbot lego mindstorms nxt version ballbot develop ralph hollis carnegie mellon university ballbot design balance single spherical wheel travel please refer follow url know detailed information ballbot http wikipedia org wiki ballbotthis demo present sample document describe follow content build nxt dynamic nxt design balance drive controlnxt ballbot experimental resultsyou nxt ballbot generate controller program execute nxt furthermore watch movie nxt ballbot control experiment follow url http youtube com watch mfiazbswachttp youtube com watch jxgsg ythis demo require embed coder robot nxt demo mbd environment need download follow url try demo http mathworks com matlabcentral fileexchange lego trademark lego group company sponsor authorize endorse demo lego mindstorms register trademark lego group ecrobotcontrol designembedded,"['nxt', 'ballbot', 'base', 'design', 'base', 'embedded', 'coder', 'robot', 'nxt', 'nxt', 'ballbot', 'lego', 'mindstorms', 'nxt', 'version', 'ballbot', 'develop', 'ralph', 'hollis', 'carnegie', 'mellon', 'university', 'ballbot', 'design', 'balance', 'single', 'spherical', 'wheel', 'travel', 'please', 'refer', 'follow', 'url', 'know', 'detailed', 'information', 'ballbot', 'http', 'wikipedia', 'org', 'wiki', 'ballbotthis', 'demo', 'present', 'sample', 'document', 'describe', 'follow', 'content', 'build', 'nxt', 'dynamic', 'nxt', 'design', 'balance', 'drive', 'controlnxt', 'ballbot', 'experimental', 'resultsyou', 'nxt', 'ballbot', 'generate', 'controller', 'program', 'execute', 'nxt', 'furthermore', 'watch', 'movie', 'nxt', 'ballbot', 'control', 'experiment', 'follow', 'url', 'http', 'youtube', 'com', 'watch', 'mfiazbswachttp', 'youtube', 'com', 'watch', 'jxgsg', 'ythis', 'demo', 'require', 'embed', 'coder', 'robot', 'nxt', 'demo', 'mbd', 'environment', 'need', 'download', 'follow', 'url', 'try', 'demo', 'http', 'mathworks', 'com', 'matlabcentral', 'fileexchange', 'lego', 'trademark', 'lego', 'group', 'company', 'sponsor', 'authorize', 'endorse', 'demo', 'lego', 'mindstorms', 'register', 'trademark', 'lego', 'group', 'ecrobotcontrol', 'designembedded']",0
184,23965,"This SIMULINK block contains a PID controller with anti-windup<p>Although many aspects of a control system can be understood based on linear theory, some nonlinear effects must be accounted for in practically all controllers. Windup is such a phenomena, which is caused by the interaction of integral action and saturations. All actuators have limitations: a motor has limited speed, a valve cannot be more than fully opened or fully closed, etc. For a control system with a wide range of operating conditions, it may happen that the control variable reaches the actuator limits. When this happens the feedback loop is broken and the system runs as an open loop because the actuator will remain at its limit independently of the process output. If a controller with integrating action is used, the error will continue to be integrated. This means that the integral term may become very large or, colloquially, it “winds up”. It is then required that the error has opposite sign for a long period before things return to normal. The consequence is that any controller with integral action may give large transients when the actuator saturates.Ref: <a href=""http://www.cds.caltech.edu/~murray/courses/cds101/fa02/caltech/astrom-ch6.pdf"">http://www.cds.caltech.edu/~murray/courses/cds101/fa02/caltech/astrom-ch6.pdf</a></p>anti windup,antiwindup,control,control design,dynamics,feedback,nonlinear,pid,saturation,simulink,windup,electric_motor_control,power_electronics_control",14,1,2,0,16,block contains pid controller anti windupalthough many aspect control understood base linear theory nonlinear effect must account practically controller windup phenomenon cause interaction integral action saturation actuator limitation motor limit speed valve fully open fully close etc control wide range operate condition may happen control variable reach actuator limit happen feedback loop broken run open loop actuator remain limit independently process output controller integrate action error continue integrate mean integral term may become large colloquially wind required error opposite sign long period thing return normal consequence controller integral action may give large transient actuator saturate ref http caltech edu murray course cds caltech astrom pdfanti motor controlpower electronics control,"['block', 'contains', 'pid', 'controller', 'anti', 'windupalthough', 'many', 'aspect', 'control', 'understood', 'base', 'linear', 'theory', 'nonlinear', 'effect', 'must', 'account', 'practically', 'controller', 'windup', 'phenomenon', 'cause', 'interaction', 'integral', 'action', 'saturation', 'actuator', 'limitation', 'motor', 'limit', 'speed', 'valve', 'fully', 'open', 'fully', 'close', 'etc', 'control', 'wide', 'range', 'operate', 'condition', 'may', 'happen', 'control', 'variable', 'reach', 'actuator', 'limit', 'happen', 'feedback', 'loop', 'broken', 'run', 'open', 'loop', 'actuator', 'remain', 'limit', 'independently', 'process', 'output', 'controller', 'integrate', 'action', 'error', 'continue', 'integrate', 'mean', 'integral', 'term', 'may', 'become', 'large', 'colloquially', 'wind', 'required', 'error', 'opposite', 'sign', 'long', 'period', 'thing', 'return', 'normal', 'consequence', 'controller', 'integral', 'action', 'may', 'give', 'large', 'transient', 'actuator', 'saturate', 'ref', 'http', 'caltech', 'edu', 'murray', 'course', 'cds', 'caltech', 'astrom', 'pdfanti', 'motor', 'controlpower', 'electronics', 'control']",4
185,23997,"Simplified model of an electric wheelchair in SimPowerSystems.<p>This demo is based on a homework assignment for a Power Electronics Circuits course taught by Professor Giri Venkataramanan at the University of Wisconsin, Madison.Professor Giri Venkataramanan's webpage is here:<a href=""http://www.engr.wisc.edu/ece/faculty/venkataramanan_giri.html"">http://www.engr.wisc.edu/ece/faculty/venkataramanan_giri.html</a></p>electric,power electronics,simpowersystems,torque regulator,traction motor,wheelchair,power_conversion_control,power_electronics_control",102,3,3,0,106,simplify electric wheelchair simpowersystems demo base homework assignment power electronics circuit course taught professor giri venkataramanan university wisconsin madison professor giri venkataramanan webpage http engr wisc edu ece faculty venkataramanan giri conversion controlpower electronics control,"['simplify', 'electric', 'wheelchair', 'simpowersystems', 'demo', 'base', 'homework', 'assignment', 'power', 'electronics', 'circuit', 'course', 'taught', 'professor', 'giri', 'venkataramanan', 'university', 'wisconsin', 'madison', 'professor', 'giri', 'venkataramanan', 'webpage', 'http', 'engr', 'wisc', 'edu', 'ece', 'faculty', 'venkataramanan', 'giri', 'conversion', 'controlpower', 'electronics', 'control']",4
186,24216,"Allows to read input keyboard during Simulink simulation<p>Improvements respect original ""Simulink Keyboard Input"":- second output for triggering key arrival (for Subsystems and Char)- inherited sampling time- close window on close- handle of window as state so faster response- Level-2 S-Function</p>keyboard input,simulink,user input,utilities,keyboard input,user input,keyboard input",4,0,1,0,3,allows read input keyboard respect original keyboard input second output trigger key arrival subsystem char inherit sampling time close window close handle window state faster response level inputuser inputkeyboard input,"['allows', 'read', 'input', 'keyboard', 'respect', 'original', 'keyboard', 'input', 'second', 'output', 'trigger', 'key', 'arrival', 'subsystem', 'char', 'inherit', 'sampling', 'time', 'close', 'window', 'close', 'handle', 'window', 'state', 'faster', 'response', 'level', 'inputuser', 'inputkeyboard', 'input']",5
187,24294,"This demo shows how to use block listeners to view model signals in a MATLAB user interface.<p>This application demonstrates how listeners can be attached to the blocks in a Simulink model, and how those listeners can be used to display block inputs and outputs on a MATLAB user interface.  (The main function for achieving this is called add_exec_event_listener.)The model can be executed either as a standard simulation or after being built into a generic real-time target (for those users with an RTW license).  In the later case, RTW's External Mode and TCP/IP is used to transfer data from the running executable to the model and thence to the UI.The use of listeners to view signals rather than the traditional approach of writing a custom S-Function block has at least 2 advantages: firstly the model is not ""corrupted"" by having to add any special viewing block (this is particularly advantageous if the model is also to be used with RTW); and secondly the same UI could be used to view signals from different models.Specifically this application works with a simple model called 'simpleModel.mdl', that contains the three blocks               Sine Wave --&gt; Gain --&gt; ScopeThe UI allows the model to be started and stopped, and allows the value of the gain to be tuned.  The value of the signal being fed into the Scope block is displayed on an axis on the UI.  The model does not have to be open to use the UI (and it's recommended for it to be closed).The UI allows the model to be run in either simulation mode (requiring a Simulink license) or as a generic real-time (GRT) executable (since the model must be ""built"" this requires an RTW license).It is intended as a demonstration program to show various aspects of using MATLAB, Simulink and RTW: - how to create a MATLAB UI using command line functionality - how to start/stop a Simulink model using command line functionality - how to add a listener to a Simulink block so that signals can be viewed from a MATLAB UI. - how to build a GRT executable using command line functionality - how to interface with code running in ""real-time"" (For the purposes of this UI the grt code is running on the host machine, so it is not running in hard real-time, however it is using External Mode to communicate with the code and hence shows how communication would be performed if the code was truly running on an RTOS.</p>add_exec_event_listener,event listeners,grt,rtw,simulink,ui,user interface,pick of the week,potw",3,0,1,0,2,demo show block listener view signal user interface application demonstrate listener attach block listener display block input output user interface main function achieve call add exec event listener execute either standard build generic real time target user rtw license later case rtw external mode tcp transfer data run executable thence listener view signal rather traditional approach write custom function block least advantage firstly corrupt add special view block particularly advantageous also rtw secondly could view signal different specifically application work simple call simplemodel mdl contain three block sine wave gain scopethe allows start stop allows value gain tune value signal feed scope block display axis open recommend closed allows run either mode require license generic real time grt executable since must build require rtw license intend demonstration program show various aspect rtw create command line functionality start stop command line functionality add listener block signal view build grt executable command line functionality interface code run real time purpose grt code run host machine run hard real time however external mode communicate code hence show communication would perform code truly run rtos add exec event listenerevent interfacepick weekpotw,"['demo', 'show', 'block', 'listener', 'view', 'signal', 'user', 'interface', 'application', 'demonstrate', 'listener', 'attach', 'block', 'listener', 'display', 'block', 'input', 'output', 'user', 'interface', 'main', 'function', 'achieve', 'call', 'add', 'exec', 'event', 'listener', 'execute', 'either', 'standard', 'build', 'generic', 'real', 'time', 'target', 'user', 'rtw', 'license', 'later', 'case', 'rtw', 'external', 'mode', 'tcp', 'transfer', 'data', 'run', 'executable', 'thence', 'listener', 'view', 'signal', 'rather', 'traditional', 'approach', 'write', 'custom', 'function', 'block', 'least', 'advantage', 'firstly', 'corrupt', 'add', 'special', 'view', 'block', 'particularly', 'advantageous', 'also', 'rtw', 'secondly', 'could', 'view', 'signal', 'different', 'specifically', 'application', 'work', 'simple', 'call', 'simplemodel', 'mdl', 'contain', 'three', 'block', 'sine', 'wave', 'gain', 'scopethe', 'allows', 'start', 'stop', 'allows', 'value', 'gain', 'tune', 'value', 'signal', 'feed', 'scope', 'block', 'display', 'axis', 'open', 'recommend', 'closed', 'allows', 'run', 'either', 'mode', 'require', 'license', 'generic', 'real', 'time', 'grt', 'executable', 'since', 'must', 'build', 'require', 'rtw', 'license', 'intend', 'demonstration', 'program', 'show', 'various', 'aspect', 'rtw', 'create', 'command', 'line', 'functionality', 'start', 'stop', 'command', 'line', 'functionality', 'add', 'listener', 'block', 'signal', 'view', 'build', 'grt', 'executable', 'command', 'line', 'functionality', 'interface', 'code', 'run', 'real', 'time', 'purpose', 'grt', 'code', 'run', 'host', 'machine', 'run', 'hard', 'real', 'time', 'however', 'external', 'mode', 'communicate', 'code', 'hence', 'show', 'communication', 'would', 'perform', 'code', 'truly', 'run', 'rtos', 'add', 'exec', 'event', 'listenerevent', 'interfacepick', 'weekpotw']",0
188,24320,"M-file scripts and Simulink models from webinar on 28 May 2009<p>These are the files and some of the data that I used in my recent webinar on Algorithmic Trading. Data has been shortened for size reasons. Included are:MARISANearest Neighbour modelTrailing stop-loss codean illustration of Takens TheoremAlso included are Simulink models showing:Moving Average crossover modelSimple tracking of the FTSE 100 - intro to basket tradingA bollinger band model using StateflowA simple market making system based on a paper by Sanmay Das</p>algorithmic trading,algorithmic trading,nearest neighbour,market making,algorithmic trading,algorithmic trading,bollinger bands,finance,high frequency,market making,signal processing,simulation,simulink,systematic trading,algorithmic trading,algorithmic trading,algorithmic trading,algorithmic trading,high frequency,market making,algorithmic trading,algorithmic trading,nearest neighbour,algorithmic trading,algorithmic trading,gui,high frequency,finance,algorithmic trading,algorithmic trading,systematic trading,algorithmic trading,high frequency,algorithmic trading,algorithmic trading,algorithmic trading,algorithmic trading,algorithmic trading,bollinger bands,finance,gui,high frequency,market making,nearest neighbour,signal processing,simulation,simulink,systematic trading",88,6,2,0,104,file script webinar may file data recent webinar algorithmic trading data shorten size reason include marisanearest neighbour modeltrailing stop loss codean illustration takens theoremalso include show move average crossover modelsimple track ftse intro basket tradinga bollinger band stateflowa simple market make base paper sanmay dasalgorithmic tradingnearest neighbourmarket frequencymarket makingsignal tradinghigh frequencymarket tradingnearest tradingguihigh tradinghigh frequencymarket makingnearest neighboursignal trading,"['file', 'script', 'webinar', 'may', 'file', 'data', 'recent', 'webinar', 'algorithmic', 'trading', 'data', 'shorten', 'size', 'reason', 'include', 'marisanearest', 'neighbour', 'modeltrailing', 'stop', 'loss', 'codean', 'illustration', 'takens', 'theoremalso', 'include', 'show', 'move', 'average', 'crossover', 'modelsimple', 'track', 'ftse', 'intro', 'basket', 'tradinga', 'bollinger', 'band', 'stateflowa', 'simple', 'market', 'make', 'base', 'paper', 'sanmay', 'dasalgorithmic', 'tradingnearest', 'neighbourmarket', 'frequencymarket', 'makingsignal', 'tradinghigh', 'frequencymarket', 'tradingnearest', 'tradingguihigh', 'tradinghigh', 'frequencymarket', 'makingnearest', 'neighboursignal', 'trading']",8
189,24353,"The examples provided in this file can be used to teach signal processing courses.<p>The zip files contains Simulink®  models that can be used for Teaching Signal Processing Concepts interactively. The models can be used for demonstrations or with modern teaching methods.  The examples build on the ideas presented in the paper ""Interactive models for teaching digital signal processing"", Proc. IEEE DSP Workshop 2009.  The paper can be downloaded from the IEEE website over here: <a href=""http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=4785928"">http://ieeexplore.ieee.org/xpl/freeabs_all.jsp?arnumber=4785928</a></p>classroom,education,signal processing,simulink,teaching,classroom,communications,education,signal processing,signal processing examples,signals and systems,simulink,teaching,signal processing,signal processing examples,education",1025,89,6,0,1065,example provide file teach signal processing course zip file contains teach signal processing concept interactively demonstration modern teach method example build idea present paper interactive teach digital signal processing proc iee dsp workshop paper download iee website http ieexplore iee org xpl freeabs jsp arnumber process examplessignals process,"['example', 'provide', 'file', 'teach', 'signal', 'processing', 'course', 'zip', 'file', 'contains', 'teach', 'signal', 'processing', 'concept', 'interactively', 'demonstration', 'modern', 'teach', 'method', 'example', 'build', 'idea', 'present', 'paper', 'interactive', 'teach', 'digital', 'signal', 'processing', 'proc', 'iee', 'dsp', 'workshop', 'paper', 'download', 'iee', 'website', 'http', 'ieexplore', 'iee', 'org', 'xpl', 'freeabs', 'jsp', 'arnumber', 'process', 'examplessignals', 'process']",0
190,24396,"Neste modelo foi simulado a tecnica de modulação por largura de pulso senoidal (SPWM).<p>A partir dos conceitos de modulação por largura de pulso senoidal (SPWM), foi implementado um modelo da logica de chaveamento, do inversor trifasico de dois niveis e um subsystem para as medições das grandezas (Van, Vcb, etc).</p>inversor,modulation pwm,simulink,spwm,third harmonic",112,3,2,0,110,neste modelo foi tecnica modulação por largura pulso senoidal spwm partir conceitos modulação por largura pulso senoidal spwm foi implementado modelo logica chaveamento inversor trifasico doi niveis subsystem para medições grandezas van vcb etc harmonic,"['neste', 'modelo', 'foi', 'tecnica', 'modulação', 'por', 'largura', 'pulso', 'senoidal', 'spwm', 'partir', 'conceitos', 'modulação', 'por', 'largura', 'pulso', 'senoidal', 'spwm', 'foi', 'implementado', 'modelo', 'logica', 'chaveamento', 'inversor', 'trifasico', 'doi', 'niveis', 'subsystem', 'para', 'medições', 'grandezas', 'van', 'vcb', 'etc', 'harmonic']",8
191,24403,"Simulação do motor de indução trifásico a partir das equações diferenciais.<p>A partir das equações diferenciais que modelam o comportamento dinâmico do motor de indução, foi desenvolvido o modelo do motor no simulink.A simulação pode ser configurada para diferentes sistemas de referencia (estacionaria, síncrona, etc.)</p>induction motor,induction motor,simulink,stationary,synchronous and arbitrary reference frame,induction motor,dtc induction motor drive,motor ac,electric_motor_control,power_electronics_control",180,9,3,0,238,motor indução trifásico partir equações diferenciais partir equações diferenciais que modelam comportamento dinâmico motor indução foi desenvolvido modelo motor pode ser configurada para diferentes sistemas referencia estacionaria síncrona etc induction motorinduction arbitrary reference frameinduction motordtc induction motor drivemotor acelectric motor controlpower electronics control,"['motor', 'indução', 'trifásico', 'partir', 'equações', 'diferenciais', 'partir', 'equações', 'diferenciais', 'que', 'modelam', 'comportamento', 'dinâmico', 'motor', 'indução', 'foi', 'desenvolvido', 'modelo', 'motor', 'pode', 'ser', 'configurada', 'para', 'diferentes', 'sistemas', 'referencia', 'estacionaria', 'síncrona', 'etc', 'induction', 'motorinduction', 'arbitrary', 'reference', 'frameinduction', 'motordtc', 'induction', 'motor', 'drivemotor', 'acelectric', 'motor', 'controlpower', 'electronics', 'control']",8
192,24413,"Variable R and X for a catenary system model<p>This file is implemented in order to simulate a catenary system with a train which is running. The R and the X parts of Z is so variable (depending with the distance x)</p>train,automotive,catenary,electric chain,train",23,3,3,0,22,variable catenary modelthis file implement order catenary train run part variable depend distance chaintrain,"['variable', 'catenary', 'modelthis', 'file', 'implement', 'order', 'catenary', 'train', 'run', 'part', 'variable', 'depend', 'distance', 'chaintrain']",0
193,24629,"Excellent Single Phase Active power Filter with Closed loop control<p>The model describes the Active power Filter for High Voltage DC power Supply. The Active Filter can be used in any other applications also.</p>control design,simpower systems,this possible on hard warei am trying so,control design,simpower systems,control design,simpower systems,this possible on hard warei am trying so,control design,simpower systems,control design,simpower systems,power_conversion_control,power_electronics_control",80,3,2,0,81,excellent single phase active power filter close loop controlthe describes active power filter high voltage power supply active filter application also control designsimpower systemsthis possible hard warei try socontrol designsimpower systemscontrol designsimpower systemsthis possible hard warei try socontrol designsimpower systemscontrol designsimpower systemspower conversion controlpower electronics control,"['excellent', 'single', 'phase', 'active', 'power', 'filter', 'close', 'loop', 'controlthe', 'describes', 'active', 'power', 'filter', 'high', 'voltage', 'power', 'supply', 'active', 'filter', 'application', 'also', 'control', 'designsimpower', 'systemsthis', 'possible', 'hard', 'warei', 'try', 'socontrol', 'designsimpower', 'systemscontrol', 'designsimpower', 'systemsthis', 'possible', 'hard', 'warei', 'try', 'socontrol', 'designsimpower', 'systemscontrol', 'designsimpower', 'systemspower', 'conversion', 'controlpower', 'electronics', 'control']",4
194,24648,"Selective Harmonic Elimination PWM for 3-Phase Inverters<p>Selective harmonic Pulse Width Modulated Pulses are presented in this model. Six dominant harmonics are removed in this simulink model which are present in three-phase PWM inverter. See the FFT for the output voltage waveform and current waveforms. Interestingly you can see that 5th, 7th, 11th, 13th, 17th and 19th harmonic content is zero.</p>simpowersystems,simpowersystems,simpowersystems,electric_motor_control,power_conversion_control,power_electronics_control,simpowersystems",82,5,3,0,80,selective harmonic elimination pwm phase harmonic pulse width modulate pulse present six dominant harmonic remove present three phase pwm inverter see fft output voltage waveform current waveform interestingly see harmonic content zero motor controlpower conversion controlpower electronics,"['selective', 'harmonic', 'elimination', 'pwm', 'phase', 'harmonic', 'pulse', 'width', 'modulate', 'pulse', 'present', 'six', 'dominant', 'harmonic', 'remove', 'present', 'three', 'phase', 'pwm', 'inverter', 'see', 'fft', 'output', 'voltage', 'waveform', 'current', 'waveform', 'interestingly', 'see', 'harmonic', 'content', 'zero', 'motor', 'controlpower', 'conversion', 'controlpower', 'electronics']",3
195,24653,"Simulation of a direct operated hydraulic relief valve<p>Modeling and Simulation of a Hydraulic Relief ValveThe attached file presents a simulation of a direct-operated hydraulic relief valve with built-in damper. The study of the valve included the following:•Construction and operation of the valve•Mathematical modeling•Computer simulation using Simulink•A discussion of the static and dynamic characteristics of the valve, based on the simulation results.The theoretical analysis is presented in the following book, pages 198 to 205:M Galal Rabie, Fluid Power Engineering, McGraw-Hill, NY, May 18, 2009.</p>aerospace,automotive,control design,fluid power engineering,optimization,simulation,simulink",262,21,4,0,294,direct operate hydraulic relief valvemodeling hydraulic relief valvethe attach file present direct operate hydraulic relief valve build damper study valve include follow construction operation discussion static dynamic characteristic valve base result theoretical analysis present follow book page galal rabie fluid power engineering mcgraw hill may designfluid power,"['direct', 'operate', 'hydraulic', 'relief', 'valvemodeling', 'hydraulic', 'relief', 'valvethe', 'attach', 'file', 'present', 'direct', 'operate', 'hydraulic', 'relief', 'valve', 'build', 'damper', 'study', 'valve', 'include', 'follow', 'construction', 'operation', 'discussion', 'static', 'dynamic', 'characteristic', 'valve', 'base', 'result', 'theoretical', 'analysis', 'present', 'follow', 'book', 'page', 'galal', 'rabie', 'fluid', 'power', 'engineering', 'mcgraw', 'hill', 'may', 'designfluid', 'power']",0
